,a, b, c, d, e, text
0,1, 2, NA, 4, 5, hi
1,6, 7, 8, Null, 10, pandas
2,11, NA, 13 , 14, 15, csv
3,a, b, c, d, e, text
4,1, 2, NA, 4, 5, hi
5,6, 7, 8, Null, 10, pandas
6,11, NA, 13 , 14, 15, csv
7,a, b, c, d, e, text
8,1, 2, NA, 4, 5, hi
9,6, 7, 8, Null, 10, pandas
10,11, NA, 13 , 14, 15, csv
11,a, b, c, d, e, text
12,1, 2, NA, 4, 5, hi
13,6, 7, 8, Null, 10, pandas
14,11, NA, 13 , 14, 15, csv
15,a, b, c, d, e, text
16,1, 2, NA, 4, 5, hi
17,6, 7, 8, Null, 10, pandas
18,11, NA, 13 , 14, 15, csv
